Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH2 temperature,CH2 humidity,CH3 temperature,CH3 humidity,CH4 temperature,CH4 humidity,CH5 temperature,CH5 humidity,CH6 temperature,CH6 humidity,CH7 temperature,CH7 humidity,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO,CO Sensor battery,PM2.5,PM10,PM sensor battery,PM sensor connect,PM 2.5 AQI,PM 10 AQI,HCHO,VOC LEVEL,HCHO+VOC Sensor battery,CO2,CO2 Sensor Battery
,hPa,hPa,°C,%,°C,%,°C,°C,°C,°C,deg,km/h,km/h,km/h,mm,mm,mm,**,Lux,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,km,**,**,**,**,**,**,**,**,**,**,**,**,ppm,**,µg/m³,µg/m³,**,**,**,**,ppb,**,**,ppm,**
"Sunday, September 1, 2024 10:40 AM CEST",1013,1010,26.5,54,25.0,62,17.2,---,25.0,25.0,108,0.0,0.0,0.0,0.0,0.0,0.0,1.2,18379,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 10:45 AM CEST",1013,1010,26.4,54,25.1,61,17.1,26.1,25.1,25.1,66,0.0,0.0,0.0,0.0,0.0,0.0,1.5,23820,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 10:50 AM CEST",1013,1010,26.3,54,25.3,61,17.2,26.3,25.3,25.3,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19369,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 10:55 AM CEST",1013,1010,26.3,54,25.4,59,16.8,26.3,25.4,25.4,270,2.2,2.2,2.2,0.0,0.0,0.0,0.9,14900,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 11:00 AM CEST",1013,1010,26.4,54,25.5,59,16.9,26.4,25.5,25.5,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16349,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 11:05 AM CEST",1013,1010,26.4,54,25.6,59,17.0,26.5,25.6,25.6,37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14019,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 11:10 AM CEST",1013,1010,26.4,54,25.7,59,17.1,26.6,25.7,25.7,322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8659,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 11:15 AM CEST",1013,1010,26.4,54,25.6,59,17.0,26.5,25.6,25.6,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7569,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 11:20 AM CEST",1013,1010,26.5,54,25.6,60,17.3,26.5,25.6,25.6,261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9639,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 11:25 AM CEST",1013,1010,26.6,54,25.7,60,17.4,26.6,25.7,25.7,180,0.0,0.0,0.0,0.0,0.0,0.0,0.8,12559,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
